attraction_id,name,country,province,city,location,price,rating
2000,the_pork_and_bacon_walking_food_tour_of_toronto's_hogtown_history,canada,ontario,toronto,nil,98.0,5.0
2001,private_gastown_and_chinatown_walking_tour_in_vancouver,canada,british_columbia,vancouver,nil,54.53,-1.0
2002,arctic_day:_hiking_tour_half_day,canada,yukon,whitehorse,"{'lat': 60.7227415, 'lng': -135.0558791}",135.45,5.0
2003,downtown_and_old_montreal_south_city_bike_tour,canada,quebec,montreal,"{'lat': 45.527218, 'lng': -73.573048}",88.25,5.0
2004,queen_street_west_pastry_tour,canada,ontario,toronto,nil,85.0,5.0
2005,vancouver_murder_mystery_game,canada,british_columbia,vancouver,nil,35.33,-1.0
2006,fatbike_frozen_waterfall_tour,canada,alberta,calgary,"{'lat': 50.9183584, 'lng': -115.147942}",89.99,5.0
2007,small-group_afternoon_bike_tour_of_vancouver,canada,british_columbia,vancouver,"{'lat': 49.2866679, 'lng': -123.141285}",68.25,5.0
2008,toronto_islands_evening_bike_tour,canada,ontario,toronto,"{'lat': 43.6541583, 'lng': -79.3904907}",96.05,5.0
2009,gastown_&_chinatown_night_photography_tour,canada,british_columbia,vancouver,nil,45.0,-1.0
2010,walking_tour_of_niagara-on-the-lake_historic_district,canada,ontario,niagara_falls,"{'lat': 43.6528527, 'lng': -79.3692322}",25.0,5.0
2011,axe_throwing_at_batl_-_the_backyard_axe_throwing_league_in_calgary,canada,alberta,calgary,nil,22.22,-1.0
2012,original_haunted_walk_of_ottawa,canada,ontario,ottawa,"{'lat': 45.4234137, 'lng': -75.6959111}",24.5,4.5
2013,montreal_mural_tour,canada,quebec,montreal,"{'lat': 45.526123, 'lng': -73.5950714}",45.0,5.0
2014,whales_&_fly:_whale_watching_from_vancouver_to_victoria_&_return_seaplane_flight,canada,british_columbia,vancouver,"{'lat': 48.4227209, 'lng': -123.3689786}",447.57,5.0
2015,vancouver_full-day_sightseeing_and_photography_tour,canada,british_columbia,vancouver,nil,249.0,5.0
2016,downtown_toronto_bike_tour,canada,ontario,toronto,"{'lat': 43.6541583, 'lng': -79.3904907}",84.75,5.0
2017,guided_electric_bike_tour_in_whistler,canada,british_columbia,whistler,"{'lat': 50.117217, 'lng': -122.9474384}",134.96,5.0
2018,best_of_vancouver!,canada,british_columbia,vancouver,"{'lat': 49.2866679, 'lng': -123.141285}",75.0,-1.0
2019,okanagan_wine_country_bike_and_wine_tour,canada,british_columbia,okanagan_valley,"{'lat': 49.501802, 'lng': -119.5907252}",170.0,5.0
2020,5-hour_small-group_vancouver_bike_tour,canada,british_columbia,vancouver,"{'lat': 49.292444, 'lng': -123.1343769}",85.0,5.0
2021,vancouver_private_walking_tour_of_downtown_chinatown_and_gastown,canada,british_columbia,vancouver,"{'lat': 49.282979, 'lng': -123.109697}",248.75,5.0
2022,jewish_neighborhood_food_tour,canada,quebec,montreal,nil,95.44,4.5
2023,whistler_electric_bike_tour_(ebike),canada,british_columbia,whistler,"{'lat': 50.116507, 'lng': -122.948062}",105.0,5.0
2024,chinatown_dim_sum_tour,canada,british_columbia,vancouver,"{'lat': 49.2879402, 'lng': -123.1130521}",75.0,-1.0
2025,little_italy_walking_food_tour_in_vancouver,canada,british_columbia,vancouver,"{'lat': 49.2859174, 'lng': -123.1138245}",73.0,4.5
2026,shore_excursion_saint_john_walking_tour,canada,new_brunswick,saint_john,nil,30.0,5.0
2027,electric_bike_tour_of_quebec_city,canada,quebec,quebec_city,"{'lat': 46.8135797, 'lng': -71.2017245}",85.0,5.0
2028,old_montreal_ghost_walking_tour,canada,quebec,montreal,"{'lat': 45.5025925, 'lng': -73.5551673}",25.0,4.0
2029,winter_downtown_toronto_bike_tour,canada,ontario,toronto,"{'lat': 43.6541583, 'lng': -79.3904907}",79.1,5.0
2030,under_the_surface_of_montreal's_chinatown:_guided_food_walking_tour,canada,quebec,montreal,nil,83.0,5.0
2031,victoria_highlight_city_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4280462, 'lng': -123.368555}",74.95,4.0
2032,3_day_vancouver_island_cycling_tour,canada,british_columbia,vancouver,"{'lat': 49.2914718, 'lng': -123.142404}",-1.0,-1.0
2033,wine_trail_ride_cycling_tour,canada,ontario,windsor,nil,135.0,-1.0
2034,guided_bike_tour_on_ile_d'orleans,canada,quebec,quebec_city,"{'lat': 46.8614081, 'lng': -71.0777464}",99.0,5.0
2035,making_their_mark:_montreal_jewish_history_walking_tour,canada,quebec,montreal,"{'lat': 45.5169489, 'lng': -73.579716}",24.0,5.0
2036,"rabbis,_writers_and_radicals:_montreal_jewish_history_walking_tour",canada,quebec,montreal,"{'lat': 45.5169489, 'lng': -73.579716}",24.0,4.0
2037,quebec_city_bike_tour_along_saint_lawrence_river,canada,quebec,quebec_city,"{'lat': 46.8135797, 'lng': -71.2017245}",60.0,5.0
2038,calgary_and_banff_mountain_biking_adventure,canada,alberta,calgary,"{'lat': 49.2661522, 'lng': -123.0986103}",420.0,5.0
2039,"full-day_québec_city_adventure:_bike_tour,_sightseeing_cruise,_and_lunch",canada,quebec,montreal,"{'lat': 46.8135797, 'lng': -71.2017245}",125.0,5.0
2040,historical_walking_tour_in_old_lévis_:_victorian_beauty,canada,quebec,quebec_city,nil,20.0,-1.0
2041,ebike_tour,canada,alberta,edmonton,"{'lat': 49.0772975, 'lng': -117.8005357}",79.0,5.0
2042,quebec_city_private_walking_tour_-_the_history_of_french_&_british_america,canada,quebec,quebec_city,"{'lat': 46.7561139, 'lng': -71.1790215}",130.0,5.0
2043,canyon_sainte-anne_walking_tour,canada,quebec,quebec_city,nil,13.5,4.5
2044,whistler_singletrack_mountain_bike_tour,canada,british_columbia,whistler,"{'lat': 50.116507, 'lng': -122.948062}",139.0,5.0
2045,"toronto_arts,_food_&_culture_walking_tour_-_local_private_guided_tour",canada,ontario,toronto,"{'lat': 43.753672, 'lng': -79.6089756}",282.5,-1.0
2046,best_of_ottawa_bike_tour,canada,ontario,ottawa,"{'lat': 45.4233882, 'lng': -75.6963202}",113.5,5.0
2047,ottawa_highlights_3_hour_bike_tour,canada,ontario,ottawa,"{'lat': 45.4233882, 'lng': -75.6963202}",90.6,5.0
2048,granville_island_night_photography_tour,canada,british_columbia,vancouver,"{'lat': 49.2779117, 'lng': -123.0986452}",103.95,5.0
2049,stanley_park_photography_tour_in_vancouver,canada,british_columbia,vancouver,"{'lat': 49.2779117, 'lng': -123.0986452}",104.0,2.0
2050,canada_place_and_vancouver_waterfront_photography_tour,canada,british_columbia,vancouver,"{'lat': 49.2779117, 'lng': -123.0986452}",103.95,5.0
2051,quebec_city_shore_excursion:_private_walking_tour,canada,quebec,quebec_city,"{'lat': 46.8130864, 'lng': -71.2055932}",19.58,5.0
2052,the_big_bike_loop,canada,quebec,quebec_city,"{'lat': 46.8135797, 'lng': -71.2017245}",120.0,3.0
2053,winter_canadian_rockies_canyon_hike,canada,alberta,things_to_do_in_canmore,"{'lat': 44.5593043, 'lng': -64.0333693}",75.0,-1.0
2054,axe_throwing_at_batl_-_the_backyard_axe_throwing_league_in_kitchener-waterloo,canada,ontario,things_to_do_in_kitchener,nil,22.22,-1.0
2055,axe_throwing_at_batl_-_the_backyard_axe_throwing_league_in_hamilton,canada,ontario,things_to_do_in_toronto,nil,22.22,-1.0
2056,independent_bike_tour_of_niagara-on-the-lake_wineries_including_wine_tastings,canada,ontario,niagara_falls,"{'lat': 43.2541511, 'lng': -79.0854685}",64.0,4.5
2057,niagara_winery_bicycle_tour_with_cheese,canada,ontario,niagara_falls,"{'lat': 43.2541511, 'lng': -79.0854685}",75.0,4.5
2058,immersion_quebec:_virtual_reality_experience_of_quebec_city's_history,canada,quebec,quebec_city,"{'lat': 46.8130864, 'lng': -71.2055932}",17.99,4.5
2059,city_sights_e-bike_adventure_tour_-_guided,canada,british_columbia,vancouver,"{'lat': 49.278014, 'lng': -123.131252}",124.0,5.0
2060,street_art_cycling_tour,canada,british_columbia,vancouver,"{'lat': 49.2866679, 'lng': -123.141285}",68.25,5.0
2061,lift_your_spirits!_distillery_and_cocktail_experience,canada,ontario,toronto,nil,105.0,5.0
2062,el_camino_de_tapas_and_cocktails_-_luxurious_evening_food_crawl_in_toronto,canada,ontario,toronto,nil,169.0,-1.0
2063,vancouver_secrets_of_stanley_park_walking_tour,canada,british_columbia,vancouver,"{'lat': 49.282979, 'lng': -123.109697}",38.85,5.0
2064,beyond_the_bike_lanes_bike_tour,canada,quebec,montreal,"{'lat': 45.526123, 'lng': -73.5950714}",85.0,5.0
2065,gourmet_bike_tour_in_niagara-on-the-lake_with_wine_and_beer,canada,ontario,niagara_falls,"{'lat': 43.2265419, 'lng': -79.1159615}",134.47,5.0
2066,sake_a_to_z_gastronomic_experience_in_distillery_district,canada,ontario,toronto,nil,90.0,5.0
2067,whistler_half-day_mountain_bike_tour,canada,british_columbia,whistler,nil,208.95,5.0
2068,whistler_full-day_mountain_bike_tour,canada,british_columbia,whistler,nil,303.45,-1.0
2069,4-day_bicycle_tour_through_canadian_rockies,canada,alberta,edmonton,"{'lat': 53.5649649, 'lng': -113.5786007}",-1.0,5.0
2070,canmore_food_walking_tour,canada,alberta,canadian_rockies,nil,132.29,-1.0
2071,vancouver_bike_tour_with_beers_and_bites,canada,british_columbia,vancouver,"{'lat': 49.2841459, 'lng': -123.1193126}",104.0,4.5
2072,quarry_rock_hike_and_photography_tour,canada,british_columbia,vancouver,nil,109.0,4.0
2073,bowen_island_photography_tour,canada,british_columbia,vancouver,nil,129.0,-1.0
2074,edmonton_food_tour_-_downtown_delights,canada,alberta,edmonton,nil,121.79,-1.0
2075,sunset_e-bike_adventure_w/wine_&_cheese,canada,british_columbia,vancouver,"{'lat': 49.278014, 'lng': -123.131252}",99.0,5.0
2076,toronto_islands_morning_bike_tour,canada,ontario,toronto,"{'lat': 43.6541583, 'lng': -79.3904907}",96.05,5.0
2077,beyond_city_sights_e-bike_adventure_tour,canada,british_columbia,vancouver,"{'lat': 49.278014, 'lng': -123.131252}",89.0,5.0
2078,old_montreal_walking_tour,canada,quebec,montreal,"{'lat': 45.5001458, 'lng': -73.5720264}",25.0,3.5
2079,montreal_bike_tour_with_bites,canada,quebec,montreal,"{'lat': 45.505816, 'lng': -73.5531589}",136.82,5.0
2080,high_performance_mountain_bike_rental_in_squamish,canada,british_columbia,squamish,"{'lat': 49.706921, 'lng': -123.145741}",80.0,5.0
2081,in_the_shadow_of_the_mountain,canada,quebec,montreal,"{'lat': 45.5169489, 'lng': -73.579716}",24.0,5.0
