step,start_longitude,start_latitude,end_longitude,end_latitude,distance,duration
0,-79.383039,43.653136,-79.382418,43.652434,240.6,57.7
1,-79.382418,43.652434,-79.377929,43.643184,1107.9,162.2
2,-79.377929,43.643184,-79.379814,43.642212,186.3,30.5
3,-79.379814,43.642212,-79.505876,43.621975,11019.3,503.0
4,-79.505876,43.621975,-79.823208,43.341529,41906.4,1676.2
5,-79.823208,43.341529,-81.230131,42.907732,133121.0,5288.5
6,-81.230131,42.907732,-82.47591,42.978852,108785.4,4152.6
7,-82.47591,42.978852,-84.497435,42.80257,176982.6,5926.0
8,-84.497435,42.80257,-84.504056,42.803858,563.6,20.3
9,-84.504056,42.803858,-84.513924,42.808963,991.2,35.7
10,-84.513924,42.808963,-84.669067,42.69437,24227.1,872.2
11,-84.669067,42.69437,-84.995717,42.304798,55289.8,1990.4
12,-84.995717,42.304798,-84.996427,42.302053,310.9,22.4
13,-84.996427,42.302053,-87.226413,41.588772,222066.7,8069.4
14,-87.226413,41.588772,-87.229916,41.587085,346.5,24.9
15,-87.229916,41.587085,-87.233564,41.590718,588.7,56.2
16,-87.233564,41.590718,-87.62345,41.775045,45276.2,2310.1
17,-87.62345,41.775045,-87.742633,41.960998,25381.1,1835.5
18,-87.742633,41.960998,-87.875224,41.996518,12254.4,615.6
19,-87.875224,41.996518,-89.491915,43.480725,250524.6,9027.1
20,-89.491915,43.480725,-90.437988,43.985602,101962.5,3670.6
21,-90.437988,43.985602,-99.306363,43.76889,750382.5,25995.9
22,-99.306363,43.76889,-99.312017,43.771993,572.7,42.8
23,-99.312017,43.771993,-99.312456,43.772221,43.4,7.8
24,-99.312456,43.772221,-99.3423,43.813273,6009.9,410.6
25,-99.3423,43.813273,-99.39512,43.802479,4616.5,266.8
26,-99.39512,43.802479,-99.395201,43.801798,76.0,5.5
27,-99.395201,43.801798,-103.63358,44.468445,380434.6,12137.5
28,-103.63358,44.468445,-103.636413,44.471874,445.8,29.2
29,-103.636413,44.471874,-103.859743,44.648126,27904.6,1094.6
30,-103.859743,44.648126,-103.853574,44.68121,3766.9,290.0
31,-103.853574,44.68121,-105.408352,45.44343,151491.7,6340.9
32,-105.408352,45.44343,-106.666123,45.623538,103481.2,3932.0
33,-106.666123,45.623538,-107.45028,45.578512,67257.7,2531.2
34,-107.45028,45.578512,-107.450334,45.578796,32.1,2.3
35,-107.450334,45.578796,-112.628718,46.008984,467494.3,15310.0
36,-112.628718,46.008984,-117.470836,47.638193,502286.6,16867.0
37,-117.470836,47.638193,-118.372071,47.113965,91057.8,3289.0
38,-118.372071,47.113965,-122.163829,47.5803,338704.7,12422.9
39,-122.163829,47.5803,-122.16999,47.580707,464.3,45.9
40,-122.16999,47.580707,-122.255831,47.827637,30363.0,1315.5
41,-122.255831,47.827637,-122.75693,49.003386,151856.4,6085.2
42,-122.75693,49.003386,-122.756922,49.003617,25.8,3.7
43,-122.756922,49.003617,-122.756964,49.005161,172.0,37.3
44,-122.756964,49.005161,-122.757096,49.005243,13.3,3.2
45,-122.757096,49.005243,-123.130268,49.208455,40656.9,2036.6
46,-123.130268,49.208455,-123.130053,49.214456,667.5,69.1
47,-123.130053,49.214456,-123.140239,49.21736,809.2,79.4
48,-123.140239,49.21736,-123.117134,49.281856,7853.9,743.7
49,-123.117134,49.281856,-123.119131,49.283139,203.3,22.6
50,-123.119131,49.283139,-123.120241,49.282405,114.7,10.3
51,-123.120241,49.282405,-123.120241,49.282405,0.0,0.0
